 ime,open,high,low,close,Volume
2025-02-10 9:46:00,528.01,528.32,528.01,528.2,13548
2025-02-10 9:47:00,528.22,528.23,527.67,527.67,14348
2025-02-10 9:48:00,527.7,527.88,527.59,527.88,4009
2025-02-10 9:49:00,527.83,527.9,527.32,527.34,15313
2025-02-10 9:50:00,527.36,527.58,527.18,527.58,17334
2025-02-10 9:51:00,527.58,527.59,526.96,527.09,6708
2025-02-10 9:52:00,527.15,527.44,526.97,527.4,20618
2025-02-10 9:53:00,527.42,527.65,527.42,527.46,11881
2025-02-10 9:54:00,527.45,527.78,527.41,527.74,6547
2025-02-10 9:55:00,527.74,527.75,527.36,527.75,5316
2025-02-10 9:56:00,527.755,527.83,527.63,527.63,3498
2025-02-10 9:57:00,527.61,527.88,527.54,527.86,4777
2025-02-10 9:58:00,527.9,527.93,527.76,527.76,4485
2025-02-10 9:59:00,527.78,527.98,527.74,527.94,6110
2025-02-10 10:00:00,527.93,528.03,527.69,527.94,15170
2025-02-10 10:01:00,528,528.52,527.9,528.43,13604
2025-02-10 10:02:00,528.46,528.49,528.02,528.03,12906
2025-02-10 10:03:00,528.06,528.38,527.99,528.24,8468
2025-02-10 10:04:00,528.24,528.49,528.24,528.45,4077
2025-02-10 10:05:00,528.46,529.04,528.42,528.94,44119
2025-02-10 10:06:00,528.96,529.16,528.92,528.93,11499
2025-02-10 10:07:00,528.95,529.05,528.805,529.04,7229
2025-02-10 10:08:00,529.08,529.33,529.05,529.3,9314
2025-02-10 10:09:00,529.22,529.26,529.01,529.07,21964
2025-02-10 10:10:00,529.07,529.21,528.97,528.97,13030
2025-02-10 10:11:00,529.12,529.17,528.95,529.02,12083
2025-02-10 10:12:00,529.07,529.09,528.74,528.96,5700
2025-02-10 10:13:00,528.99,529.23,528.99,529.23,6912
2025-02-10 10:14:00,529.2,529.26,529.04,529.11,4909
2025-02-10 10:15:00,529.14,529.18,529.05,529.15,6125
2025-02-10 10:16:00,529.17,529.4,529.12,529.18,3699
2025-02-10 10:17:00,529.15,529.21,529.09,529.11,5749
2025-02-10 10:18:00,529.12,529.28,529.09,529.22,1616
2025-02-10 10:19:00,529.23,529.26,529.09,529.25,2156
2025-02-10 10:20:00,529.23,529.3,529.16,529.22,2501
2025-02-10 10:21:00,529.29,529.32,528.94,529.03,8765
2025-02-10 10:22:00,529.05,529.64,529.03,529.5,12641
2025-02-10 10:23:00,529.52,529.72,529.52,529.65,5651
